person_age,жіноча,чоловіча,gender_gap
0.0,71136,72088,952
1.0,85096,86873,1777
2.0,88128,92040,3912
3.0,96640,101035,4395
4.0,119546,125130,5584
5.0,130827,136883,6056
6.0,136763,143146,6383
7.0,150285,157391,7106
8.0,163464,170046,6582
9.0,175680,184673,8993
10.0,183405,193321,9916
11.0,199389,207479,8090
12.0,196384,205782,9398
13.0,203511,212891,9380
14.0,193144,202320,9176
15.0,192413,200853,8440
16.0,196964,205973,9009
17.0,194534,202884,8350
18.0,136970,131558,5412
19.0,152280,141282,10998
20.0,145791,136016,9775
21.0,149436,142249,7187
22.0,149286,148518,768
23.0,141352,139742,1610
24.0,137955,134127,3828
25.0,142223,138319,3904
26.0,142416,136288,6128
27.0,152061,142596,9465
28.0,159700,148743,10957
29.0,168403,158026,10377
30.0,172718,161767,10951
31.0,182286,170062,12224
32.0,190199,177469,12730
33.0,204353,190485,13868
34.0,213385,199037,14348
35.0,223911,209034,14877
36.0,234019,218946,15073
37.0,249627,233341,16286
38.0,254510,237024,17486
39.0,265444,247238,18206
40.0,256952,237760,19192
41.0,261774,243103,18671
42.0,265615,244481,21134
43.0,245380,225212,20168
44.0,239426,218163,21263
45.0,241652,219653,21999
46.0,237963,214540,23423
47.0,236743,211508,25235
48.0,235089,208189,26900
49.0,240708,212641,28067
50.0,238890,207511,31379
51.0,236652,203789,32863
52.0,230847,198699,32148
53.0,237074,201849,35225
54.0,233254,199064,34190
55.0,227673,192641,35032
56.0,216960,181091,35869
57.0,218110,180049,38061
58.0,218848,178094,40754
59.0,224930,180512,44418
60.0,218313,171585,46728
61.0,230462,177208,53254
62.0,246728,184143,62585
63.0,253196,185994,67202
64.0,257950,184776,73174
65.0,264223,183257,80966
66.0,259319,175018,84301
67.0,252474,168036,84438
68.0,244016,155769,88247
69.0,233838,145106,88732
70.0,222686,133551,89135
71.0,223551,129212,94339
72.0,200794,112943,87851
73.0,203353,109694,93659
74.0,198730,104210,94520
75.0,187432,94264,93168
76.0,192258,94039,98219
77.0,160667,76266,84401
78.0,131762,59666,72096
79.0,122300,52984,69316
80.0,71580,29527,42053
81.0,82873,32280,50593
82.0,70496,26318,44178
83.0,78290,27502,50788
84.0,95948,31931,64017
85.0,85731,27660,58071
86.0,83849,25598,58251
87.0,74692,22262,52430
88.0,65541,19706,45835
89.0,42747,12639,30108
90.0,29310,8246,21064
91.0,18404,5080,13324
92.0,12105,3051,9054
93.0,11622,2794,8828
94.0,9466,2184,7282
95.0,8235,1833,6402
96.0,5674,1141,4533
97.0,4304,820,3484
98.0,2814,538,2276
99.0,1976,349,1627
